satellite,target,start_time,end_time
Sat4,cluster_38_target_0_136547289235664,2766.7259001645743,3020.506065666549
Sat4,cluster_39_target_0_136547289235808,2879.35272064458,3133.8133343219897
Sat4,cluster_40_target_0_136547289238352,2969.374713413202,3180.086452627699
Sat4,cluster_41_target_0_136547289238112,3071.2429774827956,3312.021863095492
Sat4,cluster_42_target_0_136547289244160,3165.3898067610357,3408.747089515524
Sat4,cluster_43_target_0_136547289244640,3286.761785794568,3543.045071001585
Sat4,cluster_44_target_0_136547289244736,3393.706005445581,3562.2124691469407
Sat4,cluster_45_target_0_136547289245360,3501.4449512529945,3667.7076367405234
Sat4,cluster_46_target_0_136547289244880,3575.082255492932,3774.640099220085
Sat4,cluster_47_target_0_136547289244832,3655.872927158629,3906.2894877995996
Sat4,cluster_48_target_0_136547289239648,3789.99774234365,3963.7607263877344
Sat4,cluster_49_target_0_136547289239840,3824.0104758615666,4073.4537156340707
Sat4,cluster_50_target_0_136547289239888,4046.777078446599,4150.146496794937
Sat4,cluster_51_target_0_136547289240560,4109.3956940441085,4323.344228895653
Sat4,cluster_52_target_0_136547289247184,4148.414482056073,4377.905321892583
Sat4,cluster_53_target_0_136547289248096,4366.798845367284,4435.180402726802
Sat4,cluster_54_target_0_136547289242240,4386.241705177468,4579.265886736961
Sat4,cluster_55_target_0_136547289247328,4452.06296263013,4658.7170984815575
Sat4,cluster_56_target_0_136547289248432,4584.5796336837675,4762.519431002602
Sat4,cluster_57_target_0_136547289241760,4677.5142182683085,4842.24719178024
Sat4,cluster_58_target_0_136547289242000,4817.866431152269,5031.9950631072525
Sat4,cluster_59_target_0_136547289242144,4853.734621075388,5081.954602843289
Sat4,cluster_0_target_0_136545301334864,4933.1490705121105,5201.3273378644835
Sat4,cluster_1_target_0_136547334313472,5006.616609758929,5277.427736058734
Sat4,cluster_2_target_0_136545301334816,5111.019682407467,5383.093032938785
Sat4,cluster_3_target_0_136545301334720,5233.975648875896,5473.939844463268
Sat4,cluster_4_target_0_136547290420592,5343.950745275461,5609.203016333319
Sat4,cluster_5_target_0_136547290421312,5423.750799434952,5693.8247261954675
Sat4,cluster_6_target_0_136547290420640,5579.377737349732,5846.545396562005
Sat4,cluster_7_target_0_136547290428896,5611.026868912898,5874.815882210733
Sat4,cluster_8_target_0_136547290419056,5695.149562837839,5967.773349045625
Sat4,cluster_9_target_0_136547290425392,5825.7645512453355,6074.052310519693
Sat4,cluster_10_target_0_136547289236048,5914.661456066698,6182.939954217198
Sat4,cluster_11_target_0_136547289242432,6026.586601574497,6213.783695165675
Sat4,cluster_12_target_0_136547289248144,6084.708418419752,6343.50637441617
Sat4,cluster_13_target_0_136547289237104,6286.397680033342,6437.290262471848
Sat4,cluster_15_target_0_136547289243056,6522.367713390329,6592.814304535505
Sat4,cluster_14_target_0_136547289242816,6335.581522731923,6600.0
Sat4,cluster_16_target_0_136547289242768,6549.275635966936,6600.0
